Time,3 Planets (Aligned Omega),4 Planets (Aligned Omega),5 Planets (Aligned Omega),7 Planets (Aligned Omega),8 Planets (Aligned Omega),3 Planets (Random Omega),4 Planets (Random Omega),5 Planets (Random Omega),7 Planets (Random Omega),8 Planets (Random Omega),
686768.6768676868,21.48143140796121,23.036896482869846,43.806601968426754,12.38297973296006,0.6086886119746817,19.502117108113904,nan,36.29686966308595,nan,0.6086906729074562,
686868.6868686869,20.47433529332429,23.095412427358518,43.80658043420854,12.38251802722524,0.6086930968866773,19.50157255115145,nan,36.29764898926087,nan,0.6086886407670934,
686968.6968696871,20.473820174535838,22.03611202912939,45.77454450667392,12.382386771101068,0.6086905099012963,19.50178035620127,nan,36.29629424051546,nan,0.6086873735997941,
687068.7068706872,19.469872087000105,22.030739238618548,43.69711075635922,12.382888667745402,0.6087015941128291,19.50385904661836,nan,nan,nan,0.6086853200138631,
687168.7168716873,19.474635845862345,22.035745681035905,43.68397541983452,12.382938102987074,0.6087079900866746,19.502067408270005,nan,nan,nan,0.6086839663473134,
687268.7268726872,19.47864870752933,23.031590278477704,43.76843488051835,12.382593205698054,0.6087061183939604,19.50126847295491,21.081857672790868,36.296621332109375,nan,0.60867985241743,
687368.7368736874,19.481820869455934,23.02912255757933,43.842643984423376,12.38330729972979,0.6087198566759765,19.50179006436699,21.09178322678602,36.297417017236484,nan,0.6086759776359758,
687468.7468746875,19.48740236189112,20.968166052286467,43.76254106947863,12.382934731899867,0.6087205411326395,19.499214027338112,21.099591617700455,36.29555090169565,nan,0.6086679306049869,
687568.7568756876,19.493890365759135,22.024050786434366,43.79913780677677,12.38290188181527,0.6087205327890712,19.497998151094823,21.105393260604554,36.29779485965826,12.389790138017906,0.6086673704635028,
687668.7668766878,19.5052922188012,22.034823333247374,43.760627028702395,12.383711272275667,0.6087320044987701,19.49758345267811,21.10714413437737,36.29745795441095,12.3899028490409,0.6086606123647049,
687768.7768776878,19.561647842929087,23.084992872595787,43.859056851360414,12.383228140286938,0.608736667130417,19.49660982026316,21.10176914482294,36.300753295054896,12.38950870393038,0.608653351232633,
687868.7868786879,20.267994427080712,23.032068133071085,43.816536937459794,12.382968420771919,0.6087432189851136,19.487876091961695,21.09406004141978,36.30119394616431,12.38930109552084,0.6086531213993455,
687968.796879688,19.544174103890015,22.025372097751504,43.78785156275093,12.383661332111751,0.6087467108018875,nan,21.08261290414873,36.30082378448711,12.389150685298327,0.6086463286400582,
688068.8068806881,21.496538080611785,23.107939882612794,43.7344080238276,12.383498125782483,0.6087378803433139,19.48902553443397,21.068130308375327,36.29874813389168,12.389283677888251,0.608642766173876,
688168.8168816882,21.491853187748063,23.094647157840054,43.77556845449824,12.383308560496433,0.6087313287909348,19.492841667592263,21.052648340600523,36.296337655005644,nan,0.6086395274161813,
688268.8268826883,21.488023603247104,23.110970131062228,43.81497402161252,12.383786866075468,0.6087370782221442,19.49470729113011,21.03678591884277,36.300812316239586,nan,0.608643685153194,
688368.8368836883,21.485532425201107,22.968367154435544,43.70682214459622,12.38338755386162,0.6087393786530377,19.495000170460298,21.023264464565603,nan,12.389020512552666,0.6086453671954425,
688468.8468846885,21.48496940626683,22.97112793785352,43.71231962843004,12.383121782021915,0.6087307653103571,19.49729785011814,21.006616626506553,nan,12.389184855787615,0.6086466069001126,
688568.8568856886,21.483160985871933,21.90644478879928,43.7050819017924,12.3836334123753,0.6087239607904312,19.497465141723424,20.992484631516295,nan,12.388631321160892,0.6086537398365631,
688668.8668866887,20.47416248684019,23.101575885590943,43.77357787819432,12.383190714157031,0.6087224413104432,19.49644849445315,20.978062307152136,nan,12.388546220534453,0.6086594714868976,
688768.8768876889,20.47241901364301,23.110855537751018,43.761295032407645,12.38325621716545,0.6087100716483597,19.497750208097536,20.96399875886615,nan,nan,0.6086696776732443,
688868.8868886889,20.47121474327783,22.971996241382133,43.84131345631594,12.383498020156544,0.6087093579884615,19.494938171508178,20.951523566529715,nan,nan,0.608672810474227,
688968.8968896889,20.470023981265843,22.907197622951678,43.666479389487996,12.382665377179029,0.6087128680713078,19.49479388196232,20.94062379764713,nan,12.388723023731272,0.6086776199536408,
689068.906890689,20.46944274613176,22.90194336095699,43.86580103625364,12.38299221247659,0.6087019209751537,19.496471654935554,nan,nan,12.389054350402608,0.6086885135913782,
689168.9168916892,20.469729830378537,22.902970993154845,43.77805362282513,12.383258883301533,0.6087123392490826,19.494195873909852,20.922704627628317,36.30064048952271,12.388537344726949,0.6086905754084967,
689268.9268926893,19.462552294919192,22.898330658968245,43.83836293951416,12.382754197093405,0.6087058001344732,19.49356178285,20.915634657813023,36.299255943872815,12.388273922900023,0.6086938853384893,
689368.9368936894,19.463051504982467,23.042809143953118,43.695988776657316,12.382921582640382,0.6087020511331913,19.49488712016883,20.908082437093636,36.2979487098121,12.388704982618268,0.6086982609878467,
689468.9468946895,19.463237568630955,22.89994790084009,43.694323203341874,12.383155393756939,0.6087093350134635,19.492799622042103,20.901726640498172,36.300378516335584,12.388856192616425,0.6086932085481871,
689568.9568956896,20.47581149721988,22.970467306551352,43.69336159599728,12.382910320557933,0.6087164294725854,19.493143938722998,20.897496735869144,36.299614803390035,12.388485692480556,0.6086970558860296,
689668.9668966897,20.476469966906272,22.966372118255233,43.80072274209165,12.383251198941029,0.608730847831142,nan,nan,36.301417567464426,12.388229086806634,0.6086955426576619,
689768.9768976899,20.476980266810752,22.96611311760441,43.79320739124057,12.383449356254609,0.6087327030333792,19.49066986129354,nan,36.30029207503368,nan,0.6086843164399954,
689868.98689869,21.481804457517242,22.968505200780918,43.786920661490164,12.383250059794586,0.608740908225498,19.491349297971656,20.889344596013093,36.2989147211439,12.388082511157666,0.6086856451816987,
689968.9968996899,20.476692155358936,22.96486859668768,43.67730228278881,12.38345701715402,0.6087464559783425,nan,20.889953105783523,36.2998207534372,12.387945065303228,0.6086827532163421,
690069.00690069,20.47628103804868,22.973870833470322,43.82593876129774,12.383345579516023,0.6087466376977293,nan,20.89043163660614,36.30017738867686,12.388134644997418,0.6086729797528598,
690169.0169016902,20.475300237548407,22.96683160676763,45.800010437038935,12.383322912294403,0.6087483180258165,nan,20.88901839984832,36.30243652714665,12.388147613666886,0.6086675342764694,
690269.0269026903,20.477430329352806,22.980091222196258,43.836200518983475,12.383493918275487,0.608751035308297,nan,20.888191227270635,36.29984732056599,12.38830665998477,0.6086613584946436,
690369.0369036904,20.478143649736296,22.96993704387578,43.83907708719585,12.383634750445923,0.608758958165651,nan,20.886838624785565,36.29806403787866,12.387926606834814,0.6086543021134868,
690469.0469046906,20.47967339307668,22.98398830645867,43.84139800784869,12.383159946750286,0.6087506936614695,nan,20.885291489340684,36.298434471112856,12.387769248793152,0.6086510500395426,
690569.0569056906,20.481571446096073,22.90511378211418,43.83847645650795,12.382975636456807,0.6087478291416345,nan,20.88284091056624,36.30025679180644,nan,0.6086474959630668,
690669.0669066907,20.482586515789016,23.061935883566825,43.77495212446676,12.383667366009238,0.6087492383561771,nan,20.880036131270714,36.30144176407388,nan,0.6086477660645455,
690769.0769076908,20.48366846337033,22.05084939059936,43.69543082873068,12.383433334632175,0.6087411508599221,nan,nan,nan,12.38806209197068,0.6086481151128434,
690869.086908691,20.483695641105474,23.129992008648376,43.69609487864727,12.382902691600828,0.6087283486599724,nan,20.877737150499335,36.29946608762101,12.388530202185748,0.6086509735154871,
690969.0969096911,20.482102355296483,22.972286892938122,43.77257067198798,12.383448290413567,0.6087158090749203,nan,nan,36.29940154483593,12.388488323505909,0.6086534450391582,
691069.106910691,20.48219097909395,22.970860615681744,43.823820807517386,12.383084241598706,0.6087175570618379,nan,nan,36.30054843334758,12.387930019956737,0.6086596060588656,
691169.1169116911,20.482320632099015,22.96359268247647,43.820637848173334,12.38270274040388,0.6087099209550675,nan,nan,36.299674788184824,12.388655328164404,0.6086653145737854,
691269.1269126913,20.489700417489733,22.95855525181589,45.83326118547696,12.383252462183151,0.6087077159234725,nan,nan,36.29817262354582,12.389029659177268,0.6086699188777326,
691369.1369136914,20.480887233613505,22.890579508743112,43.88490056124198,12.382711885205122,0.6087049462668479,nan,20.869586551048137,36.29950095845263,12.388721058928464,0.6086742468167448,
