Period,Planet 1 h fft,Planet 1 k fft,Planet 1 p fft,Planet 1 q fft,Planet 2 h fft,Planet 2 k fft,Planet 2 p fft,Planet 2 q fft,Planet 3 h fft,Planet 3 k fft,Planet 3 p fft,Planet 3 q fft,Planet 4 h fft,Planet 4 k fft,Planet 4 p fft,Planet 4 q fft
290.38908536614406,0.008259157208127409,0.00458994564671391,1.9973172946682898e-05,0.00038479523762612207,0.009218325017629756,0.002711160206196266,0.00039806805126883733,0.00025092097812919777,0.008434174964985752,0.004385103606893605,0.00039426832212702826,0.0029485673311673917,0.001392083875915358,0.005888871499467787,0.007512262805789588,7.556387856070392e-05
290.3047924531205,0.008257776473297328,0.004589143555527553,1.9969703288816942e-05,0.00038473105293717523,0.009217083639429373,0.002711123904659644,0.00039800756037947945,0.000250866758470012,0.00843240440565102,0.004381018157999689,0.00037920931775057426,0.0029421507592744013,0.0013781502846078812,0.005865413065896469,0.00755562511807484,5.92409655997612e-05
290.22054846227513,0.008256480827794706,0.0045884074301071965,1.996618968029182e-05,0.000384668094413656,0.009215506863672724,0.002710864089098528,0.00039797265053824785,0.00025083809107820897,0.008429889688073268,0.004384384328546764,0.00036800050396085504,0.00294899556781562,0.0013768378264745872,0.005870879311379143,0.007598171479736979,7.713312286686594e-05
290.1363533510299,0.008255051151651715,0.0045876642802400985,1.9962767492386427e-05,0.00038460290408224174,0.009215694697464668,0.0027095750716704787,0.00039797587833971927,0.00025081732308209316,0.008408748121982272,0.004375963966450629,0.00040604309639110715,0.0029388021040408292,0.0013880932351628848,0.005870355775001876,0.007457044276684735,0.00012742331220305428
290.05220707685623,0.008253735597548937,0.004586864076676386,1.9961792923665814e-05,0.00038454087266261426,0.0092132819331479,0.0027098744389268906,0.0003978709334619391,0.00025077755078490443,0.008411811171895298,0.004379011155960448,0.0003937612450093554,0.0029432961914128935,0.001398746826592171,0.0058631340142501044,0.0074994509923360835,9.587171439973489e-05
289.96810959727463,0.00825239194873911,0.004586163359582732,1.994149825145675e-05,0.00038447012893639946,0.0092116211541936,0.002709522844746818,0.00039786389713667884,0.0002507495807743527,0.008408102572767497,0.004375767520782636,0.0003924817943514219,0.002944164507415683,0.001403631632045016,0.005846028102885964,0.0075046633283076805,8.414448859541811e-05
289.8840608698551,0.008250931112992655,0.004585469363511189,1.9948347491710102e-05,0.00038440993764286645,0.009210269919405743,0.002709181327950007,0.00039777157831542875,0.00025070157851651565,0.008435262511130415,0.0044082727715380535,0.0003801839022885904,0.0029625411411879124,0.0013272218379730702,0.005948956872563721,0.007550135180550523,0.00014925165860085946
289.8000608522168,0.008249653876610754,0.0045846420711197905,1.9945175665512115e-05,0.0003843470640725603,0.009208682996721356,0.002709008454813023,0.0003977396928458602,0.00025069478731782794,0.008405371396680579,0.004376630204837881,0.00038411101134118013,0.0029458519872165283,0.001396518015484026,0.0058436531513620564,0.00752987294750482,7.662144725733869e-05
289.71610950202785,0.008248287451259691,0.004583933623281275,1.9941904472022517e-05,0.0003842845759656563,0.00920710579161123,0.0027085909505535606,0.00039759344064581315,0.0002507668856404892,0.008392766585256964,0.004362588531672099,0.00038510058829620877,0.002944464326329752,0.0014286013221009998,0.0057923082043319,0.007524769190189256,8.379562184318395e-05
289.63220677700554,0.008246838489604388,0.004583293825576481,1.99382458456965e-05,0.0003842209286042922,0.009205634216291586,0.002708370011839915,0.000397589231794639,0.00025063645564829225,0.008403014724746779,0.004393849621809426,0.00038516784558153926,0.0029449576942415542,0.001401250529827576,0.005885603294706604,0.007524136887541207,8.313199889679133e-05
289.5483526349161,0.00824559728535476,0.004582548403865748,1.993377006118169e-05,0.00038415929036951155,0.00920475360979768,0.0027073876899315506,0.0003974891522295185,0.00025063934567392675,0.008391148673187885,0.004380086236462985,0.0003853640078093829,0.002945663296955183,0.001403894520658692,0.0058595284299218986,0.007521504256087761,8.477563480822537e-05
289.46454703357455,0.00824427648144891,0.004581870009430148,1.9924871331303043e-05,0.00038410398869503557,0.00920282920992265,0.002707400656606997,0.0003973547185573391,0.0002507161308953514,0.008373242564260553,0.004380132700377775,0.00038304459714999143,0.002954535882649629,0.0014719088133649048,0.005844956856192111,0.0075265425794350796,0.00010558217327513711
289.3807899308449,0.008242592315897298,0.004581951331547177,1.9936141743003382e-05,0.00038401877424112664,0.009201285425606576,0.0027070125858580743,0.00039759006340708505,0.00025034315078198514,0.008397859561388794,0.004376909893323868,0.00039183292759172505,0.0029102592755319728,0.0013845540533650468,0.005803969563547454,0.007501828088434241,6.494889769294334e-05
289.29708128463994,0.008239821134406794,0.004581983465545841,1.9927414555813696e-05,0.00038396194333576773,0.00920254741627906,0.002703981842088143,0.0003971478224249448,0.0002503032798637627,0.008339379578174724,0.004369138767941381,0.00038742372599408795,0.0029330245302294253,0.0015470386912244812,0.005832418690070405,0.007506897028973171,6.65248352005241e-05
