Period,Planet 1 h fft,Planet 1 k fft,Planet 1 p fft,Planet 1 q fft,Planet 2 h fft,Planet 2 k fft,Planet 2 p fft,Planet 2 q fft,Planet 3 h fft,Planet 3 k fft,Planet 3 p fft,Planet 3 q fft,Planet 4 h fft,Planet 4 k fft,Planet 4 p fft,Planet 4 q fft,Planet 5 h fft,Planet 5 k fft,Planet 5 p fft,Planet 5 q fft
480.8173125004808,0.011531937701272104,0.06448288448623203,0.012541621307748461,0.008059860680560265,0.0440704870432359,0.02705431772787791,0.014883617671860947,0.055738386467920606,0.00939164958898874,0.070444120986179,0.0174496207656284,0.012528715420211233,0.0004920425779859292,0.004513588306623606,0.0009113462944489547,8.851581324883769e-05,0.001173151667275888,0.0042580043267285,0.00011408710165070755,0.0005923864037686054
480.586261413263,0.011302778144116328,0.06467260751460795,0.012532456789599244,0.008058031178193531,0.03589170207793022,0.013136154615464147,0.014908413505878447,0.05572488752887316,0.0035476432223441484,0.07580472166401639,0.017450178966665654,0.012517330864388115,0.00046007075546265584,0.0045284602285677565,0.0009172751012055988,8.230947777976439e-05,0.0011133456270513245,0.004327808415562642,0.00012934558965439262,0.000518403060012725
480.3554322771375,0.011480834298008573,0.06435781698758294,0.012533813234543955,0.008049522796673734,0.016158924619227875,0.03846870603029596,0.014878102236550107,0.05574341516218585,0.010528824166999493,0.07136423581182608,0.017430053596926686,0.012530392641833239,0.0004560120360439412,0.004523502779561656,0.0009173188569992146,7.862399116373596e-05,0.001101908199828003,0.0043137979542785,0.00014121567085681756,0.0005083645324906217
480.1248247724437,0.011691900387346346,0.06413766663583446,0.012527683943753901,0.008048648625268683,0.040888322616317065,0.021627835333086903,0.014900246055641234,0.05564149424934817,0.006256070950620926,0.0749836186986675,0.01743205866109424,0.01254689738345289,0.00043849374925003466,0.004543638489139829,0.0009184255314078979,7.865468424123282e-05,0.001065733224233617,0.004386114986156487,0.0001479639221657655,0.0004946315174366453
479.8944385801344,0.0121415006161952,0.0642469334042935,0.012515843001230863,0.00804901455571553,0.05439669630249172,0.02847405967378698,0.014939405793910147,0.05563085101031482,0.011779975941189826,0.07038598981165993,0.017426836383747025,0.012483516349271525,0.00043563186957177734,0.004540351837778836,0.000920330097136909,7.484887807133134e-05,0.0010588885410940745,0.0043957211810543885,0.00016391556715688175,0.0005032744933244709
479.6642733817746,0.010556303041014008,0.0645887130543278,0.012516599802063091,0.008042762448066586,0.04851516063817395,0.014239408506061287,0.014858742376103403,0.05561894367971271,0.008772160932343615,0.0791996078412265,0.017408996755268174,0.012476383555354631,0.0004357774722297813,0.0045422369972044265,0.0009214088552933838,7.438739914992403e-05,0.001050559405145769,0.0044012753918235645,0.00017023893551584507,0.0005016592216578452
479.4343288595399,0.011588373066670942,0.06468568436194398,0.01251064785796983,0.008024223631231089,0.07092390920038918,0.037349288010842766,0.014915707478515887,0.05549385383032635,0.021678221743386152,0.07184438841328172,0.017416340137409954,0.012446100312712772,0.00043019105256741924,0.004541795157266637,0.0009227042152645334,7.424064393962732e-05,0.001047573664966958,0.0044036293783805075,0.00017646389475245889,0.0005003580070618796
479.20460469621474,0.011244171915956783,0.06404210717291255,0.012517350132623143,0.008029497461949146,0.017857599978308523,0.039633977031487445,0.014816188687853931,0.055585503619224895,0.015238078158182698,0.09302038385516888,0.017378951423240408,0.012488426706044983,0.00042776553969622844,0.004542500340639801,0.0009214553384849362,7.150484486682407e-05,0.0010476047656737511,0.0043955209626955795,0.00018286781537449982,0.000495109011323978
478.9751005751916,0.01352262703912004,0.0651897265504567,0.012484339636840872,0.008040359975642586,0.0431468471319488,0.0371577794389517,0.01494848625946241,0.055483418769990314,0.006051007922072761,0.081442498066026,0.017406268865398904,0.01244093662822389,0.00042722337313269804,0.004544569089638248,0.0009223018852661757,7.12958398354538e-05,0.0010313712099663534,0.00441461440937024,0.0001859969054763386,0.0004972249792455686
478.74581618046915,0.009942657703156357,0.0641034430970475,0.012503864281907473,0.008012810089814316,0.038652252057155966,0.041728294417376896,0.014784651763814325,0.05534215849759306,0.007293106705874089,0.07064742631614623,0.017389959681194146,0.01241744333613123,0.00042751121866595746,0.004541488313854203,0.0009236264490411787,7.079968993162653e-05,0.0010512585306751536,0.0044038844349328695,0.00019281295631154986,0.000494895313579874
478.51675119665083,0.009995850065660103,0.06444950643269173,0.012485176692686584,0.008016357093036233,0.0388775287278408,0.03898097402081414,0.01489981388529227,0.055499011574983034,0.024451744440768083,0.08755425709904552,0.01738858542931452,0.012449978695142269,0.0004213092620048429,0.0045335451994237145,0.0009239615836707866,7.162970046579987e-05,0.0010526792261665592,0.004378929468384177,0.00019203856526314316,0.0004972635294426188
478.2879053089432,0.011153260250436087,0.06520742110128958,0.012497753231277919,0.008015462962791207,0.09726410908331799,0.10282225246019162,0.014768663869183,0.055343374090246464,0.027154419151258616,0.044611799263885116,0.017364409892681017,0.012414899003428743,0.0004303220558096435,0.0045335344821860945,0.0009230426740484517,6.994693694900843e-05,0.0010192597609185823,0.004370124629792525,0.00019688178248935775,0.0004974813336737208
478.059278203155,0.010042345097886195,0.06358487260189745,0.012469589577387032,0.008006051242185688,0.03360003324159287,0.05697012604599159,0.014868108508573443,0.05541108427980484,0.015597778794611793,0.06401510548326271,0.01736809087005912,0.012424912343513742,0.0004215949100216542,0.004535930250225834,0.0009226771260327016,7.011884502020208e-05,0.0009810225751562172,0.0044060859747307255,0.00019518728350306823,0.0004960897918392829
477.8308695656952,0.011213569708294664,0.06455184918544794,0.012485129064110407,0.008017920974969043,0.021980824833770517,0.00891012407511932,0.014782002113414216,0.05548414185244251,0.004491088059803477,0.07696946278383855,0.01734879109529898,0.012435252137548349,0.0004278952202776104,0.0045266665346819415,0.000923776679493672,6.899529556887249e-05,0.0010565818151902365,0.004341332423024049,0.00020154293015595343,0.0005014312460422697
